province,T,daily prec.,days exceeding 10 mm 2007-2016
Torino,14.96,13.15,31.4
Vercelli,13.53,11.68,31.8
Novara,14.37,12.13,34
Biella,14.4,14.14,39.9
Cuneo,12.93,12.39,30.9
Verbania,14.23,20.18,52.8
Asti,13.34,11.21,26
Alessandria,13.56,9.72,23.5
Aosta,11.9,7.4,16.55
Imperia,16.61,13.22,23.5
Savona,17,14.07,26.78
Genova,16.54,14.15,31.55
La Spezia,16.55,14.04,36.4
Varese,13.32,16.85,49.6
Sondrio,12.53,11.09,35.6
Milano,15.77,10.83,30.5
Bergamo,14.02,11.25,35
Brescia,14.52,10.46,30.8
Lodi,13.72,9.95,29.4
Cremona,14.69,10.32,29.38
Mantova,15.29,8.81,22.8
Bolzano/ Bozen,13.38,9.16,25.8
Trento,13.34,9,37
Belluno,11.43,13.7,51.7
Treviso,14.27,12.36,38.2
Venezia,14.99,9.16,23.9
Padova,14.91,11.23,34.7
Rovigo,14.24,9.27,24.8
Pordenone,14.28,14.42,45.3
Udine,14.51,13.66,45
Trieste,16.08,10.01,31.75
Piacenza,13.28,9.8,24.7
Parma,15.19,9.65,26
Reggio nell'Emilia,15.05,8.89,23.3
Modena,14.94,8.64,23.1
Bologna,15.25,9.63,27
Ferrara,14.87,8.17,19.9
Ravenna,15.01,8.06,19.7
Forlì,14.96,8.27,22.3
Rimini,14.96,9.07,22.1
Massa,17.08,13.49,37.44
Lucca,15.36,14.83,45.4
Firenze,16.34,9.36,26.95
Prato,16.27,10.4,33.6
Livorno,16.4,11.56,35.3
Pisa,15.39,10.65,27.3
Arezzo,14.59,8.83,26.4
Grosseto,15.52,9.01,19.2
Perugia,15.28,9.43,29.7
Terni,16.76,8.68,26
Pesaro,14.84,9.41,24.3
Ancona,17.05,9.06,24.9
Macerata,15.73,9.9,28.9
Ascoli Piceno,15.36,10.2,27.6
Viterbo,16.22,10.08,27.8
Rieti,13.77,10.28,36.8
Roma,17.08,10.13,26.59
Latina,17.76,10.13,31.3
Frosinone,15.1,11.95,37.7
L'Aquila,12.95,7.58,22.7
Teramo,16.6,9.11,26
Pescara,15.6,9.36,21.4
Chieti,15.58,9.38,24.2
Isernia,13.15,9.91,36.4
Campobasso,13.44,8.56,24.6
Caserta,16.9,10.62,37.6
Benevento,15.33,8.34,24.8
Napoli,17.21,10.8,31
Avellino,15.45,11.96,41.5
Salerno,18.53,12.84,39.56
Foggia,16.56,6.88,15.5
Andria,15.24,7.93,15.5
Trani,16.42,7.43,16.2
Bari,17.42,8.16,18.4
Taranto,17.74,9.09,19.8
Brindisi,17.23,8.95,17.3
Lecce,16.79,9.92,21
Potenza,13.67,8.13,25.8
Matera,16.58,8.23,18.8
Cosenza ,16.21,11.36,36.4
Crotone,18.16,11.42,18.2
Catanzaro,17.17,12.45,35
Vibo Valentia,15.68,10.23,34.9
Reggio di Calabria ,19.05,8.32,19.4
Trapani,19.18,6.96,13
Palermo,18.97,8.68,22.3
Messina,19.57,11.29,32.4
Enna,14.1,8.88,18.33
Catania,17.18,8.51,8.9
Ragusa,16.5,10.56,25
Sassari ,15.88,8.39,23.5
Cagliari ,18.43,6.54,11.1
Oristano ,17.62,7.92,20.2
Tempio Pausania,14.05,9.76,30.22
Lanusei,16.43,11.43,20.11
Sanluri,17.06,7.72,16.3
Carbonia,17.85,7.12,17.6
Iglesias,16.87,8.89,26.6
